Date,Latitude,Longitude,Altitude,NO2,PM2.5,O3,PM10,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),is_day (),PM2.5/N02,PM2.5/03,Weekend,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
2023-08-26 21:35:00+00:00,46.234818,15.267305,240.0,3.1354942159291497,2.9444389791664403,86.0,3.332204510175204,23.0,71.0,17.023985782493437,17.21296052521129,0.0,0.0,0.0,6.886122978855023,14.0,9.5,209.0,14.613817405977233,-1.3625778345025745,0.0,-0.19105523676270922,-1.5099083170870673,1,False,False,True,False
2023-08-26 22:35:00+00:00,46.234818,15.267305,240.0,2.8903717578961645,2.995732273553991,83.0,3.367295829986474,21.4,80.0,17.312577839021007,16.654541108862162,0.0,0.0,0.0,6.886327331568516,22.0,5.5,238.0,14.223155570784188,-1.3625778345025745,0.0,0.10536051565782635,-1.423108334242607,1,False,False,True,False
2023-08-26 23:35:00+00:00,46.234818,15.267305,240.0,2.5649493574615367,3.044522437723423,64.6963595719364,3.4011973816621555,20.1,87.0,17.50493858469194,16.093052642199943,0.0,0.0,0.0,6.886429492267385,0.0,3.3,257.0,13.829653875070347,-1.3625778345025745,0.0,0.4795730802618863,-1.1251824959243266,1,False,False,True,False
2023-08-27 00:35:00+00:00,46.234818,15.267305,240.0,2.9444389791664403,3.044522437723423,73.0,3.367295829986474,19.1,95.0,17.697272501756178,15.402422621437942,0.0,0.0,0.0,6.886633782360025,13.0,5.2,326.0,12.983486780341304,-1.3625778345025745,0.0,0.10008345855698263,-1.2459370034249682,1,False,False,True,False
2023-08-27 01:35:00+00:00,46.234818,15.267305,240.0,3.1354942159291497,3.044522437723423,49.0,3.367295829986474,18.8,98.0,17.985723691512053,15.023601559840396,0.0,0.0,0.0,6.886327331568516,4.0,7.6,341.0,12.933269968126615,-1.3625778345025745,0.0,-0.09097177820572676,-0.8472978603872037,1,False,False,True,False
2023-08-27 02:35:00+00:00,46.234818,15.267305,240.0,2.70805020110221,3.044522437723423,55.0,3.332204510175204,18.8,97.0,17.793429488279514,15.086844878655754,0.0,0.0,0.0,6.886429492267385,1.0,6.6,351.0,12.883002301315264,-1.3625778345025745,0.0,0.3364722366212129,-0.9628107475090478,1,False,False,True,False
2023-08-27 03:35:00+00:00,46.234818,15.267305,240.0,2.833213344056216,3.091042453358316,39.0,3.367295829986474,18.6,96.0,17.40876158336437,14.516083498437409,0.0,0.0,0.0,6.886735911758062,30.0,10.0,334.0,12.78231326473113,-1.3586791940869172,0.0,0.25782910930209985,-0.5725191927713306,1,False,False,True,False
2023-08-27 04:35:00+00:00,46.234818,15.267305,240.0,2.0794415416798357,2.9444389791664403,56.0,3.2188758248682006,18.7,94.0,17.216387315317853,14.770194866652886,0.0,0.0,0.0,6.887042237384596,20.0,7.2,342.0,12.731891318085058,-1.3586791940869172,0.0,0.8649974374866045,-1.0809127115687087,1,False,False,True,False
2023-08-27 05:35:00+00:00,46.234818,15.267305,240.0,2.1972245773362196,2.995732273553991,48.0,3.258096538021482,19.2,91.0,17.216387315317853,15.150045311116578,0.0,0.0,0.0,6.887042237384596,11.0,6.8,65.0,12.681417363008777,-1.3586791940869172,1.0,0.7985076962177716,-0.8754687373538999,1,False,False,True,False
2023-08-27 06:35:00+00:00,46.234818,15.267305,240.0,2.6390573296152584,3.044522437723423,26.0,3.258096538021482,20.2,83.0,16.639099721166303,15.967847235049033,0.0,0.0,0.0,6.887348469204475,9.0,2.5,45.0,12.933269968126615,-1.3586791940869172,1.0,0.4054651081081644,-0.21357410029805904,1,False,False,True,False
2023-08-27 07:35:00+00:00,46.234818,15.267305,240.0,2.1972245773362196,3.044522437723423,33.0,3.295836866004329,21.3,78.0,16.927774698702216,16.716736895464898,0.0,0.0,0.0,6.887042237384596,5.0,2.5,98.0,13.383423677233838,-1.3586791940869172,1.0,0.8472978603872037,-0.45198512374305727,1,False,False,True,False
2023-08-27 08:35:00+00:00,46.234818,15.267305,240.0,2.6451104310016063,3.044522437723423,32.0,3.258096538021482,22.9,75.0,17.697272501756178,17.76843600868258,0.0,0.0,0.0,6.886633782360025,17.0,4.3,138.0,13.928301797062153,-1.3625778345025745,1.0,0.39941200672181676,-0.42121346507630353,1,False,False,True,False
2023-08-27 09:35:00+00:00,46.234818,15.267305,240.0,2.70805020110221,3.4011973816621555,42.0,3.6635616461296463,24.9,71.0,18.658549366573308,19.236167024271797,0.0,0.0,0.0,6.886225160431774,9.0,8.0,153.0,14.51641209043356,-1.3625778345025745,1.0,0.6931471805599453,-0.3364722366212129,1,False,False,True,False
2023-08-27 10:35:00+00:00,46.234818,15.267305,240.0,2.0794415416798357,3.295836866004329,67.0,3.58351893845611,27.2,63.0,19.04288178720022,20.685691510257307,0.0,0.0,0.0,6.885611914296447,20.0,12.3,165.0,15.098316512145143,-1.3664917338237108,1.0,1.2163953243244932,-0.908855753386637,1,False,False,True,False
2023-08-27 11:35:00+00:00,46.234818,15.267305,240.0,1.791759469228055,3.091042453358316,84.0,3.4657359027997265,29.5,53.0,18.274116083689,21.523492000482282,0.0,0.0,0.0,6.884998291859521,15.0,16.2,176.0,15.626571108013845,-1.374365790254617,1.0,1.2992829841302609,-1.3397743454849977,1,False,False,True,False
2023-08-27 12:35:00+00:00,46.234818,15.267305,240.0,1.9459101490553132,3.091042453358316,96.0,3.4011973816621555,30.1,50.0,17.889579873372135,21.82139315828183,0.0,0.0,0.0,6.884895984836055,1.0,15.9,184.0,16.055283981098498,-1.3783261914707137,1.0,1.1451323043030026,-1.4733057381095205,1,False,False,True,False
